Customer_ID,Age,City,Spending,Visits_Per_Month
1,29,Boston,450,2
2,45,Seattle,1200,8
3,,New York,800,5
4,33,Chicago,600,
5,61,Los Angeles,1500,10
6,22,Miami,300,1
7,110,Houston,8000,2
8,38,Boston,950,4
9,27,Seattle,,3
10,54,New York,1100,7
11,41,Chicago,720,5
12,,Los Angeles,1400,9
13,30,Miami,480,2
14,25,Houston,550,3
15,65,Boston,2000,12
16,35,Seattle,890,6
17,28,New York,620,4
18,50,Chicago,,8
19,42,Los Angeles,1350,7
20,24,Miami,410,2
21,115,Houston,7500,1
22,31,Boston,680,4
23,48,Seattle,1050,6
24,37,New York,900,
25,,Chicago,760,5
26,55,Los Angeles,1600,10
27,26,Miami,520,3
28,34,Houston,840,4
29,40,Boston,1150,7
30,29,Seattle,700,4
31,60,New York,1800,11
32,32,Chicago,880,6
33,47,Los Angeles,,8
34,23,Miami,380,2
35,39,Houston,950,5
36,52,Boston,1450,9
37,28,Seattle,650,3
38,,New York,1250,7
39,44,Chicago,1000,6
40,120,Los Angeles,9000,2
41,36,Miami,780,4
42,30,Houston,600,3
43,58,Boston,1750,10
44,25,Seattle,490,2
45,49,New York,1300,8
46,33,Chicago,,5
47,41,Los Angeles,1150,7
48,27,Miami,540,3
49,38,Houston,860,4
50,53,Boston,1550,9
