ID,W,G,R,AB,H,1B,2B,3B,HR,BB,SO,SB,CS,HBP,BBHBP,SF,Outs,Outsinplay,RA,BA,OBA,SLG,OPS,LogRuns,Team_ID,Team_ID_Encoded
1,60,162,558,5336,1432.0,891,247,31,111,460,840,144,80,0,460,0,4056,3216,740,0.23988006,0.300207039,0.360194903,0.660401942,6.326149473155099,Team_117,78.24317125352412
3,86,161,677,5620,1432.0,1147,216,46,83,531,752,172,62,0,531,0,4128,3376,643,0.265480427,0.328889611,0.364590747,0.693480359,6.519147287940395,Team_119,78.4197920174313
5,79,162,679,5550,1432.0,1088,262,63,83,543,879,207,89,0,543,0,4054,3175,710,0.26954955,0.334646315,0.384324324,0.71897064,6.522092798170152,Team_53,80.47483898790898
7,96,162,780,5536,1432.0,990,265,40,163,561,933,129,39,0,561,0,4078,3145,682,0.263367052,0.331146465,0.414017341,0.745163807,6.660575149839686,Team_144,79.76364493635991
9,96,162,688,5441,1432.0,905,247,21,181,542,1384,64,31,55,597,35,4087,2703,548,0.248851314,0.321258027,0.401764382,0.723022409,6.535241271013659,Team_125,79.7216495326434
11,95,162,783,5497,1432.0,932,300,35,198,616,961,74,21,65,681,52,4032,3071,616,0.266509005,0.344462279,0.441877388,0.786339667,6.664409020350408,Team_107,81.82141971846934
13,83,162,861,5677,1432.0,969,328,21,244,526,1026,89,34,60,586,34,4115,3089,908,0.275145323,0.341114817,0.469261934,0.810376751,6.759255270663693,Team_33,78.65152336482947
15,75,163,761,5643,1432.0,1114,222,39,123,600,815,126,77,0,600,0,4145,3330,766,0.265461634,0.336056383,0.384015595,0.720071978,6.635946555686647,Team_143,80.22457741386685
17,71,162,642,5546,1432.0,1000,218,29,134,476,979,51,47,0,476,0,4165,3186,717,0.249008294,0.308369313,0.371258565,0.679627877,6.466144724237619,Team_33,78.65152336482947
19,61,162,679,5503,1432.0,966,239,28,153,443,1046,92,41,0,443,0,4117,3071,772,0.25186262,0.307601749,0.388878793,0.696480542,6.522092798170152,Team_91,77.84180840021031
21,92,162,789,5592,1432.0,1038,283,53,156,508,831,93,53,0,508,0,4062,3231,679,0.27360515,0.334098361,0.4268598,0.76095816,6.672032945461067,Team_11,80.6876732725293
