Unnamed: 0,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,LogRuns,Span_Encoded
0,SR Tendulkar (INDIA),1989-2012,463,452,41,18426,200*,44.83,21368,78.16499999999999,49,96,20,2016,195,9.821572259334861,7883.689570638505
1,V Kohli (INDIA),2008-2021,254,245,39,12169,183,59.07,13061,78.16499999999999,43,62,13,1140,125,9.406729185981574,6333.681609940357
2,RT Ponting (AUS/ICC),1995-2012,375,365,39,13704,164,42.03,17046,78.16499999999999,30,82,20,1231,162,9.525516008736886,7269.317354696429
3,RG Sharma (INDIA),2007-2021,227,220,32,9205,264,48.96,10354,78.16499999999999,29,43,13,832,244,9.127610724377186,6608.836244278031
4,ST Jayasuriya (Asia/SL),1989-2011,445,433,18,13430,189,32.36,14725,78.16499999999999,28,68,34,1500,270,9.505320746909074,7233.667632720968
5,HM Amla (SA),2008-2019,181,178,14,8113,159,49.46,9178,78.16499999999999,27,39,4,822,53,9.001346243766392,6184.346932563321
6,AB de Villiers (Afr/SA),2005-2018,228,218,39,9577,176,53.5,9473,78.16499999999999,25,53,7,840,204,9.167224080902555,6489.752275294071
7,CH Gayle (ICC/WI),1999-2019,301,294,17,10480,215,37.83,12019,78.16499999999999,25,54,25,1128,331,9.257319373170178,6689.904127868659
8,KC Sangakkara (Asia/ICC/SL),2000-2015,404,380,41,14234,169,41.98,18048,78.16499999999999,25,93,15,1385,88,9.563458999712138,6935.944799938556
9,SC Ganguly (Asia/INDIA),1992-2007,311,300,23,11363,183,41.02,15416,78.16499999999999,22,72,16,1122,190,9.338205742974079,6964.733416212651
10,TM Dilshan (SL),1999-2016,330,303,41,10290,161*,39.27,11933,78.16499999999999,22,47,11,1111,55,9.239025005836092,6825.127023221155
11,LRPL Taylor (NZ),2006-2021,233,217,39,8581,181*,48.2,10287,78.16499999999999,21,51,9,712,146,9.05742226555147,6388.819745330311
